Region	Month	For-Sale Property Type	Average Monthly Rent	Average Rent YoY	Monthly mortgage, 5% down	Monthly mortgage, 5% down YoY	Monthly mortgage, 20% down	Monthly mortgage, 20% down YoY	Median sale price	Median sale price YoY
Anaheim, CA	November 2021	Condo/Co-op	$3,422		$2,425		$2,042		$600,000	20.0%
Anaheim, CA	November 2021	Multi-Family (2-4 Unit)	$3,422		$6,991		$5,887		$1,730,000	25.0%
Anaheim, CA	November 2021	Single Family Residential	$3,422		$4,556		$3,837		$1,127,500	23.0%
Anaheim, CA	November 2021	Townhouse	$3,422		$2,809		$2,365		$695,000	16.8%
Anaheim, CA	December 2021	All Residential	$3,394		$3,805		$3,204		$938,000	17.4%
Anaheim, CA	December 2021	Condo/Co-op	$3,394		$2,363		$1,990		$582,500	14.2%
Anaheim, CA	December 2021	Multi-Family (2-4 Unit)	$3,394		$6,237		$5,252		$1,537,500	22.7%
Anaheim, CA	December 2021	Single Family Residential	$3,394		$4,746		$3,997		$1,170,000	25.1%
Anaheim, CA	December 2021	Townhouse	$3,394		$3,026		$2,548		$746,000	22.3%
Anaheim, CA	January 2022	All Residential	$3,349		$4,070		$3,427		$960,000	20.2%
Anaheim, CA	January 2022	Condo/Co-op	$3,349		$2,586		$2,178		$610,000	18.3%
Anaheim, CA	January 2022	Multi-Family (2-4 Unit)	$3,349		$6,476		$5,453		$1,527,500	17.5%
Anaheim, CA	January 2022	Single Family Residential	$3,349		$4,964		$4,181		$1,171,000	22.6%
Anaheim, CA	January 2022	Townhouse	$3,349		$3,201		$2,695		$755,000	23.8%
Anaheim, CA	February 2022	All Residential	$3,316	9.8%	$4,383	35.9%	$3,691	35.9%	$995,000	20.6%
Anaheim, CA	February 2022	Condo/Co-op	$3,316	9.8%	$2,907	37.5%	$2,448	37.5%	$660,000	22.0%
Anaheim, CA	February 2022	Multi-Family (2-4 Unit)	$3,316	9.8%	$6,652	20.2%	$5,601	20.2%	$1,510,000	6.6%
Anaheim, CA	February 2022	Single Family Residential	$3,316	9.8%	$5,506	44.5%	$4,637	44.5%	$1,250,000	28.2%
Anaheim, CA	February 2022	Townhouse	$3,316	9.8%	$3,481	35.1%	$2,931	35.1%	$790,250	19.9%
Anaheim, CA	March 2022	All Residential	$3,340	11.0%	$4,803	39.6%	$4,044	39.6%	$1,037,500	22.1%
Anaheim, CA	March 2022	Condo/Co-op	$3,340	11.0%	$3,055	38.0%	$2,573	38.0%	$660,000	20.7%
Anaheim, CA	March 2022	Multi-Family (2-4 Unit)	$3,340	11.0%	$7,360	34.2%	$6,198	34.2%	$1,590,000	17.3%
Anaheim, CA	March 2022	Single Family Residential	$3,340	11.0%	$5,899	45.0%	$4,967	45.0%	$1,274,250	26.8%
Anaheim, CA	March 2022	Townhouse	$3,340	11.0%	$3,782	46.0%	$3,185	46.0%	$817,000	27.7%
Anaheim, CA	April 2022	All Residential	$3,381	10.8%	$5,444	50.7%	$4,585	50.7%	$1,070,000	19.6%
Anaheim, CA	April 2022	Condo/Co-op	$3,381	10.8%	$3,485	54.1%	$2,935	54.1%	$685,000	22.3%
Anaheim, CA	April 2022	Multi-Family (2-4 Unit)	$3,381	10.8%	$8,726	68.9%	$7,348	68.9%	$1,715,000	34.0%
Anaheim, CA	April 2022	Single Family Residential	$3,381	10.8%	$6,615	52.5%	$5,570	52.5%	$1,300,000	20.9%
Anaheim, CA	April 2022	Townhouse	$3,381	10.8%	$4,090	55.2%	$3,445	55.2%	$803,918	23.1%
Anaheim, CA	May 2022	All Residential	$3,400	9.6%	$5,557	55.0%	$4,680	55.0%	$1,061,750	18.0%
Anaheim, CA	May 2022	Condo/Co-op	$3,400	9.6%	$3,648	59.2%	$3,072	59.2%	$697,000	21.2%
Anaheim, CA	May 2022	Multi-Family (2-4 Unit)	$3,400	9.6%	$8,375	37.8%	$7,052	37.8%	$1,600,000	4.9%
Anaheim, CA	May 2022	Single Family Residential	$3,400	9.6%	$6,674	55.1%	$5,620	55.1%	$1,275,000	18.1%
Anaheim, CA	May 2022	Townhouse	$3,400	9.6%	$4,135	48.6%	$3,482	48.6%	$790,000	13.1%
Anaheim, CA	June 2022	All Residential	$3,438	7.8%	$5,514	51.7%	$4,643	51.7%	$1,020,000	12.1%
Anaheim, CA	June 2022	Condo/Co-op	$3,438	7.8%	$3,663	66.7%	$3,084	66.7%	$677,500	23.2%
Anaheim, CA	June 2022	Multi-Family (2-4 Unit)	$3,438	7.8%	$8,109	31.4%	$6,829	31.4%	$1,500,000	-2.9%
Anaheim, CA	June 2022	Single Family Residential	$3,438	7.8%	$6,757	52.4%	$5,690	52.4%	$1,250,000	12.6%
Anaheim, CA	June 2022	Townhouse	$3,438	7.8%	$4,211	55.0%	$3,546	55.0%	$779,000	14.6%
Atlanta, GA	February 2021	All Residential	$1,743		$1,122		$945		$287,000	14.8%
Atlanta, GA	February 2021	Condo/Co-op	$1,743		$899		$757		$230,000	6.2%
Atlanta, GA	February 2021	Multi-Family (2-4 Unit)	$1,743		$1,114		$938		$285,000	46.9%
Atlanta, GA	February 2021	Single Family Residential	$1,743		$1,153		$971		$295,000	15.7%
Atlanta, GA	February 2021	Townhouse	$1,743		$1,090		$918		$279,000	13.0%
Atlanta, GA	March 2021	All Residential	$1,724		$1,214		$1,022		$300,000	14.5%
Atlanta, GA	March 2021	Condo/Co-op	$1,724		$967		$814		$239,000	11.2%
Atlanta, GA	March 2021	Multi-Family (2-4 Unit)	$1,724		$1,250		$1,053		$309,000	28.8%
Atlanta, GA	March 2021	Single Family Residential	$1,724		$1,258		$1,059		$310,914	16.4%
Atlanta, GA	March 2021	Townhouse	$1,724		$1,177		$991		$290,823	16.3%
Atlanta, GA	April 2021	All Residential	$1,764		$1,253		$1,055		$310,500	15.0%
Atlanta, GA	April 2021	Condo/Co-op	$1,764		$948		$799		$235,000	6.8%
Atlanta, GA	April 2021	Multi-Family (2-4 Unit)	$1,764		$1,170		$986		$290,000	25.1%
Atlanta, GA	April 2021	Single Family Residential	$1,764		$1,312		$1,105		$325,000	18.2%
Atlanta, GA	April 2021	Townhouse	$1,764		$1,181		$994		$292,500	13.4%
Atlanta, GA	May 2021	All Residential	$1,811		$1,295		$1,091		$325,000	25.0%
Atlanta, GA	May 2021	Condo/Co-op	$1,811		$976		$822		$245,000	8.9%
Atlanta, GA	May 2021	Multi-Family (2-4 Unit)	$1,811		$1,195		$1,007		$300,000	23.7%
Atlanta, GA	May 2021	Single Family Residential	$1,811		$1,341		$1,129		$336,500	27.0%
Atlanta, GA	May 2021	Townhouse	$1,811		$1,207		$1,017		$303,010	26.3%
Atlanta, GA	June 2021	All Residential	$1,879		$1,350		$1,137		$338,000	25.2%
Atlanta, GA	June 2021	Condo/Co-op	$1,879		$979		$824		$245,000	9.5%
Atlanta, GA	June 2021	Multi-Family (2-4 Unit)	$1,879		$1,288		$1,085		$322,500	57.3%
Atlanta, GA	June 2021	Single Family Residential	$1,879		$1,398		$1,177		$350,000	27.3%
Atlanta, GA	June 2021	Townhouse	$1,879		$1,273		$1,072		$318,588	25.2%
Atlanta, GA	July 2021	All Residential	$1,927		$1,320		$1,111		$335,000	20.5%
Atlanta, GA	July 2021	Condo/Co-op	$1,927		$950		$800		$241,250	14.9%
Atlanta, GA	July 2021	Multi-Family (2-4 Unit)	$1,927		$1,138		$959		$289,000	34.4%
Atlanta, GA	July 2021	Single Family Residential	$1,927		$1,371		$1,154		$348,000	22.1%
Atlanta, GA	July 2021	Townhouse	$1,927		$1,213		$1,022		$308,000	18.5%
Atlanta, GA	August 2021	All Residential	$1,985		$1,295		$1,090		$330,000	17.9%
Atlanta, GA	August 2021	Condo/Co-op	$1,985		$942		$793		$240,000	10.6%
Atlanta, GA	August 2021	Multi-Family (2-4 Unit)	$1,985		$1,120		$943		$285,374	16.5%
Atlanta, GA	August 2021	Single Family Residential	$1,985		$1,334		$1,123		$340,000	17.2%
Atlanta, GA	August 2021	Townhouse	$1,985		$1,236		$1,041		$315,000	21.9%
Atlanta, GA	September 2021	All Residential	$2,030		$1,305		$1,099		$330,000	17.5%
Atlanta, GA	September 2021	Condo/Co-op	$2,030		$959		$808		$242,625	12.8%
Atlanta, GA	September 2021	Multi-Family (2-4 Unit)	$2,030		$1,265		$1,066		$320,000	39.1%
Atlanta, GA	September 2021	Single Family Residential	$2,030		$1,344		$1,132		$340,000	17.2%
Atlanta, GA	September 2021	Townhouse	$2,030		$1,246		$1,049		$315,000	20.0%
Atlanta, GA	October 2021	All Residential	$2,036		$1,374		$1,157		$340,000	19.3%
Atlanta, GA	October 2021	Condo/Co-op	$2,036		$1,031		$868		$255,000	7.9%
Atlanta, GA	October 2021	Multi-Family (2-4 Unit)	$2,036		$1,152		$970		$285,000	32.3%
Atlanta, GA	October 2021	Single Family Residential	$2,036		$1,425		$1,200		$352,500	19.8%
Atlanta, GA	October 2021	Townhouse	$2,036		$1,212		$1,021		$300,000	15.2%
Atlanta, GA	November 2021	All Residential	$2,035		$1,394		$1,174		$345,000	22.3%
Atlanta, GA	November 2021	Condo/Co-op	$2,035		$1,059		$892		$262,000	16.4%
Atlanta, GA	November 2021	Multi-Family (2-4 Unit)	$2,035		$1,218		$1,026		$301,500	57.4%
Atlanta, GA	November 2021	Single Family Residential	$2,035		$1,431		$1,205		$354,000	22.1%
Atlanta, GA	November 2021	Townhouse	$2,035		$1,273		$1,072		$315,000	18.9%
Atlanta, GA	December 2021	All Residential	$2,016		$1,420		$1,196		$350,000	22.8%
Atlanta, GA	December 2021	Condo/Co-op	$2,016		$1,006		$847		$248,000	9.3%
Atlanta, GA	December 2021	Multi-Family (2-4 Unit)	$2,016		$1,197		$1,008		$295,000	15.7%
Atlanta, GA	December 2021	Single Family Residential	$2,016		$1,460		$1,230		$360,000	23.9%
Atlanta, GA	December 2021	Townhouse	$2,016		$1,253		$1,056		$308,980	14.6%
Atlanta, GA	January 2022	All Residential	$2,033		$1,463		$1,232		$345,000	23.7%
Atlanta, GA	January 2022	Condo/Co-op	$2,033		$1,060		$893		$250,000	11.1%
Atlanta, GA	January 2022	Multi-Family (2-4 Unit)	$2,033		$1,229		$1,035		$290,000	34.9%
Atlanta, GA	January 2022	Single Family Residential	$2,033		$1,518		$1,278		$358,115	25.7%
Atlanta, GA	January 2022	Townhouse	$2,033		$1,229		$1,035		$290,000	11.9%
Atlanta, GA	February 2022	All Residential	$2,040	17.0%	$1,564	39.4%	$1,317	39.4%	$355,000	23.7%
Atlanta, GA	February 2022	Condo/Co-op	$2,040	17.0%	$1,192	32.5%	$1,003	32.5%	$270,500	17.6%
Atlanta, GA	February 2022	Multi-Family (2-4 Unit)	$2,040	17.0%	$1,195	7.3%	$1,006	7.3%	$271,250	-4.8%
Atlanta, GA	February 2022	Single Family Residential	$2,040	17.0%	$1,608	39.4%	$1,354	39.4%	$365,000	23.7%
Atlanta, GA	February 2022	Townhouse	$2,040	17.0%	$1,401	28.5%	$1,180	28.5%	$318,000	14.0%
Atlanta, GA	March 2022	All Residential	$2,095	21.5%	$1,691	39.3%	$1,424	39.3%	$365,278	21.8%
Atlanta, GA	March 2022	Condo/Co-op	$2,095	21.5%	$1,285	32.8%	$1,082	32.8%	$277,500	16.1%
Atlanta, GA	March 2022	Multi-Family (2-4 Unit)	$2,095	21.5%	$1,990	59.2%	$1,676	59.2%	$429,900	39.1%
Atlanta, GA	March 2022	Single Family Residential	$2,095	21.5%	$1,736	38.0%	$1,462	38.0%	$375,000	20.6%
Atlanta, GA	March 2022	Townhouse	$2,095	21.5%	$1,574	33.7%	$1,325	33.7%	$340,000	16.9%
Atlanta, GA	April 2022	All Residential	$2,130	20.7%	$1,934	54.3%	$1,628	54.3%	$380,000	22.4%
Atlanta, GA	April 2022	Condo/Co-op	$2,130	20.7%	$1,425	50.2%	$1,200	50.2%	$280,000	19.1%
Atlanta, GA	April 2022	Multi-Family (2-4 Unit)	$2,130	20.7%	$1,526	30.4%	$1,285	30.4%	$300,000	3.4%
Atlanta, GA	April 2022	Single Family Residential	$2,130	20.7%	$2,010	53.2%	$1,692	53.2%	$395,000	21.5%
Atlanta, GA	April 2022	Townhouse	$2,130	20.7%	$1,841	56.0%	$1,551	56.0%	$361,900	23.7%
Atlanta, GA	May 2022	All Residential	$2,143	18.3%	$2,078	60.5%	$1,750	60.5%	$397,000	22.2%
Atlanta, GA	May 2022	Condo/Co-op	$2,143	18.3%	$1,468	50.4%	$1,236	50.4%	$280,500	14.5%
Atlanta, GA	May 2022	Multi-Family (2-4 Unit)	$2,143	18.3%	$1,884	57.6%	$1,587	57.6%	$360,000	20.0%
Atlanta, GA	May 2022	Single Family Residential	$2,143	18.3%	$2,146	60.0%	$1,807	60.0%	$410,000	21.8%
Atlanta, GA	May 2022	Townhouse	$2,143	18.3%	$1,842	52.6%	$1,552	52.6%	$352,000	16.2%
Atlanta, GA	June 2022	All Residential	$2,141	13.9%	$2,162	60.1%	$1,821	60.1%	$400,000	18.3%
Atlanta, GA	June 2022	Condo/Co-op	$2,141	13.9%	$1,595	62.9%	$1,343	62.9%	$295,000	20.4%
Atlanta, GA	June 2022	Multi-Family (2-4 Unit)	$2,141	13.9%	$1,854	43.9%	$1,561	43.9%	$343,000	6.4%
Atlanta, GA	June 2022	Single Family Residential	$2,141	13.9%	$2,243	60.4%	$1,889	60.4%	$415,000	18.6%
Atlanta, GA	June 2022	Townhouse	$2,141	13.9%	$1,892	48.7%	$1,593	48.7%	$350,000	9.9%
Austin, TX	February 2021	All Residential	$1,644		$1,552		$1,307		$397,184	22.2%
Austin, TX	February 2021	Condo/Co-op	$1,644		$1,414		$1,191		$361,750	18.6%
Austin, TX	February 2021	Multi-Family (2-4 Unit)	$1,644		$1,810		$1,524		$463,000	12.9%
Austin, TX	February 2021	Single Family Residential	$1,644		$1,563		$1,317		$400,000	22.0%
Austin, TX	February 2021	Townhouse	$1,644		$1,126		$948		$288,050	15.2%
Austin, TX	March 2021	All Residential	$1,701		$1,728		$1,455		$427,000	28.4%
Austin, TX	March 2021	Condo/Co-op	$1,701		$1,598		$1,346		$395,000	16.2%
Austin, TX	March 2021	Multi-Family (2-4 Unit)	$1,701		$2,023		$1,704		$500,000	26.7%
Austin, TX	March 2021	Single Family Residential	$1,701		$1,745		$1,470		$431,333	30.6%
Austin, TX	March 2021	Townhouse	$1,701		$1,556		$1,310		$384,500	30.4%
Austin, TX	April 2021	All Residential	$1,735		$1,882		$1,584		$466,179	43.1%
Austin, TX	April 2021	Condo/Co-op	$1,735		$1,614		$1,360		$400,000	29.9%
Austin, TX	April 2021	Multi-Family (2-4 Unit)	$1,735		$2,230		$1,878		$552,500	14.5%
Austin, TX	April 2021	Single Family Residential	$1,735		$1,917		$1,614		$475,000	45.8%
Austin, TX	April 2021	Townhouse	$1,735		$1,466		$1,235		$363,284	6.1%
Austin, TX	May 2021	All Residential	$1,824		$1,853		$1,560		$465,000	40.9%
Austin, TX	May 2021	Condo/Co-op	$1,824		$1,574		$1,325		$395,000	16.2%
Austin, TX	May 2021	Multi-Family (2-4 Unit)	$1,824		$2,116		$1,782		$531,000	41.2%
Austin, TX	May 2021	Single Family Residential	$1,824		$1,887		$1,589		$473,500	43.5%
Austin, TX	May 2021	Townhouse	$1,824		$2,072		$1,745		$520,000	71.6%
Austin, TX	June 2021	All Residential	$1,896		$1,918		$1,615		$480,000	41.2%
Austin, TX	June 2021	Condo/Co-op	$1,896		$1,590		$1,339		$397,950	34.0%
Austin, TX	June 2021	Multi-Family (2-4 Unit)	$1,896		$2,278		$1,919		$570,295	52.1%
Austin, TX	June 2021	Single Family Residential	$1,896		$1,958		$1,648		$490,000	42.0%
Austin, TX	June 2021	Townhouse	$1,896		$1,323		$1,114		$331,222	39.5%
Austin, TX	July 2021	All Residential	$2,077		$1,908		$1,607		$484,500	37.6%
Austin, TX	July 2021	Condo/Co-op	$2,077		$1,609		$1,355		$408,500	38.7%
Austin, TX	July 2021	Multi-Family (2-4 Unit)	$2,077		$2,155		$1,814		$547,000	37.1%
Austin, TX	July 2021	Single Family Residential	$2,077		$1,950		$1,642		$495,000	37.7%
Austin, TX	July 2021	Townhouse	$2,077		$1,576		$1,327		$400,000	43.1%
Austin, TX	August 2021	All Residential	$2,084		$1,860		$1,567		$474,100	35.5%
Austin, TX	August 2021	Condo/Co-op	$2,084		$1,513		$1,274		$385,500	30.7%
Austin, TX	August 2021	Multi-Family (2-4 Unit)	$2,084		$2,080		$1,751		$530,000	40.6%
Austin, TX	August 2021	Single Family Residential	$2,084		$1,883		$1,586		$480,000	35.2%
Austin, TX	August 2021	Townhouse	$2,084		$1,424		$1,199		$363,000	37.1%
Austin, TX	September 2021	All Residential	$2,187		$1,782		$1,500		$450,597	26.9%
Austin, TX	September 2021	Condo/Co-op	$2,187		$1,404		$1,182		$355,000	16.4%
Austin, TX	September 2021	Multi-Family (2-4 Unit)	$2,187		$2,161		$1,820		$546,500	30.7%
Austin, TX	September 2021	Single Family Residential	$2,187		$1,819		$1,532		$460,000	28.0%
Austin, TX	September 2021	Townhouse	$2,187		$1,548		$1,304		$391,500	10.3%
Austin, TX	October 2021	All Residential	$2,235		$1,859		$1,565		$460,000	25.1%
Austin, TX	October 2021	Condo/Co-op	$2,235		$1,713		$1,443		$424,000	22.9%
Austin, TX	October 2021	Multi-Family (2-4 Unit)	$2,235		$2,243		$1,889		$555,000	27.3%
Austin, TX	October 2021	Single Family Residential	$2,235		$1,859		$1,565		$460,000	24.3%
Austin, TX	October 2021	Townhouse	$2,235		$1,471		$1,239		$364,000	38.5%
Austin, TX	November 2021	All Residential	$2,269		$1,906		$1,605		$471,660	29.2%
Austin, TX	November 2021	Condo/Co-op	$2,269		$1,614		$1,360		$399,500	26.8%
Austin, TX	November 2021	Multi-Family (2-4 Unit)	$2,269		$2,142		$1,804		$530,000	37.0%
Austin, TX	November 2021	Single Family Residential	$2,269		$1,940		$1,633		$479,945	30.5%
Austin, TX	November 2021	Townhouse	$2,269		$1,495		$1,259		$370,000	29.6%
Austin, TX	December 2021	All Residential	$2,290		$1,931		$1,626		$475,995	28.9%
Austin, TX	December 2021	Condo/Co-op	$2,290		$1,724		$1,452		$425,000	31.4%
Austin, TX	December 2021	Multi-Family (2-4 Unit)	$2,290		$2,191		$1,845		$540,000	25.4%
Austin, TX	December 2021	Single Family Residential	$2,290		$1,953		$1,645		$481,480	30.1%
Austin, TX	December 2021	Townhouse	$2,290		$1,505		$1,267		$371,000	28.5%
Austin, TX	January 2022	All Residential	$2,245		$2,056		$1,731		$485,000	31.1%
Austin, TX	January 2022	Condo/Co-op	$2,245		$1,823		$1,535		$430,000	28.4%
Austin, TX	January 2022	Multi-Family (2-4 Unit)	$2,245		$2,459		$2,071		$580,000	31.1%
Austin, TX	January 2022	Single Family Residential	$2,245		$2,073		$1,746		$489,000	31.8%
Austin, TX	January 2022	Townhouse	$2,245		$1,865		$1,571		$440,000	40.6%
Austin, TX	February 2022	All Residential	$2,308	40.4%	$2,202	41.9%	$1,855	41.9%	$500,000	25.9%
Austin, TX	February 2022	Condo/Co-op	$2,308	40.4%	$1,872	32.4%	$1,577	32.4%	$425,000	17.5%
Austin, TX	February 2022	Multi-Family (2-4 Unit)	$2,308	40.4%	$2,247	24.1%	$1,892	24.1%	$510,000	10.2%
Austin, TX	February 2022	Single Family Residential	$2,308	40.4%	$2,225	42.3%	$1,873	42.3%	$505,000	26.3%
Austin, TX	February 2022	Townhouse	$2,308	40.4%	$1,938	72.2%	$1,632	72.2%	$440,000	52.8%
Austin, TX	March 2022	All Residential	$2,349	38.1%	$2,430	40.7%	$2,047	40.7%	$525,000	23.0%
Austin, TX	March 2022	Condo/Co-op	$2,349	38.1%	$2,037	27.4%	$1,715	27.4%	$440,000	11.4%
Austin, TX	March 2022	Multi-Family (2-4 Unit)	$2,349	38.1%	$2,546	25.8%	$2,144	25.8%	$550,000	10.0%
Austin, TX	March 2022	Single Family Residential	$2,349	38.1%	$2,477	41.9%	$2,086	41.9%	$535,045	24.0%
Austin, TX	March 2022	Townhouse	$2,349	38.1%	$2,024	30.1%	$1,704	30.1%	$437,215	13.7%
Austin, TX	April 2022	All Residential	$2,531	45.9%	$2,824	50.1%	$2,378	50.1%	$555,000	19.1%
Austin, TX	April 2022	Condo/Co-op	$2,531	45.9%	$2,417	49.7%	$2,035	49.7%	$475,000	18.8%
Austin, TX	April 2022	Multi-Family (2-4 Unit)	$2,531	45.9%	$3,447	54.6%	$2,903	54.6%	$677,500	22.6%
Austin, TX	April 2022	Single Family Residential	$2,531	45.9%	$2,875	50.0%	$2,421	50.0%	$565,000	18.9%
Austin, TX	April 2022	Townhouse	$2,531	45.9%	$2,162	47.5%	$1,821	47.5%	$425,000	17.0%
Austin, TX	May 2022	All Residential	$2,707	48.4%	$2,899	56.5%	$2,441	56.5%	$553,888	19.1%
Austin, TX	May 2022	Condo/Co-op	$2,707	48.4%	$2,434	54.6%	$2,050	54.6%	$465,000	17.7%
Austin, TX	May 2022	Multi-Family (2-4 Unit)	$2,707	48.4%	$3,410	61.2%	$2,872	61.2%	$651,500	22.7%
Austin, TX	May 2022	Single Family Residential	$2,707	48.4%	$2,952	56.5%	$2,486	56.5%	$564,000	19.1%
Austin, TX	May 2022	Townhouse	$2,707	48.4%	$2,240	8.1%	$1,886	8.1%	$427,995	-17.7%
Austin, TX	June 2022	All Residential	$2,505	32.1%	$2,897	51.1%	$2,440	51.1%	$535,958	11.7%
Austin, TX	June 2022	Condo/Co-op	$2,505	32.1%	$2,427	52.7%	$2,044	52.7%	$449,000	12.8%
Austin, TX	June 2022	Multi-Family (2-4 Unit)	$2,505	32.1%	$3,244	42.4%	$2,731	42.4%	$600,000	5.2%
Austin, TX	June 2022	Single Family Residential	$2,505	32.1%	$2,958	51.1%	$2,491	51.1%	$547,113	11.7%
Austin, TX	June 2022	Townhouse	$2,505	32.1%	$2,284	72.6%	$1,923	72.6%	$422,495	27.6%
Baltimore, MD	February 2021	All Residential	$1,835		$1,173		$987		$300,000	11.2%
Baltimore, MD	February 2021	Condo/Co-op	$1,835		$782		$658		$200,000	4.9%
Baltimore, MD	February 2021	Multi-Family (2-4 Unit)	$1,835		$1,155		$973		$295,500	135.5%
Baltimore, MD	February 2021	Single Family Residential	$1,835		$1,508		$1,270		$385,900	13.4%
Baltimore, MD	February 2021	Townhouse	$1,835		$938		$790		$240,000	19.0%
Baltimore, MD	March 2021	All Residential	$1,855		$1,275		$1,073		$315,000	7.9%
Baltimore, MD	March 2021	Condo/Co-op	$1,855		$809		$681		$200,000	1.8%
Baltimore, MD	March 2021	Multi-Family (2-4 Unit)	$1,855		$941		$792		$232,500	24.3%
Baltimore, MD	March 2021	Single Family Residential	$1,855		$1,598		$1,346		$395,000	6.8%
Baltimore, MD	March 2021	Townhouse	$1,855		$1,012		$852		$250,000	8.4%
Baltimore, MD	April 2021	All Residential	$1,924		$1,324		$1,115		$328,000	9.3%
Baltimore, MD	April 2021	Condo/Co-op	$1,924		$888		$748		$220,000	17.6%
Baltimore, MD	April 2021	Multi-Family (2-4 Unit)	$1,924		$927		$780		$229,630	-15.1%
